"","True","Est","Bias","RBias","SE","MCSE","RMSE","Power","ROPE","CR(%)"
"beta00",0,0,0,NA,0.04,0.04,0.04,0.05,0.97,95
"sd_beta0",0.2,0.17,-0.03,-0.13,0.04,0.04,0.05,1,0.73,89
"beta10",0.5,0.5,0,0,0.03,0.03,0.03,1,1,95
"sd_beta1",0.2,0.2,0,-0.01,0.02,0.02,0.02,1,1,92
"AR0",0.3,0.3,0,0,0.01,0.01,0.01,1,1,98
"sd_AR",0.1,0.11,0.01,0.12,0.01,0.01,0.02,1,1,82
"betaIIV00",NA,1.12,NA,NA,0.03,0.04,NA,1,1,0
"betaIIV10",NA,0.01,NA,NA,0.02,0.02,NA,0.11,0.89,0
"sd_betaIIV0",NA,0.28,NA,NA,0.03,0.03,NA,1,1,0
"sd_betaIIV1",NA,0.13,NA,NA,0.01,0.02,NA,1,1,0
