"","True","Est","Bias","RBias","SE","MCSE","RMSE","Power","ROPE","CR(%)"
"beta00",0,0,0,NA,0.03,0.04,0.04,0.06,0.97,94
"sd_beta0",0.2,0.19,-0.01,-0.07,0.04,0.04,0.04,1,0.93,94
"beta10",0.5,0.5,0,0,0.02,0.02,0.02,1,1,95
"sd_beta1",0.2,0.2,0,-0.02,0.02,0.02,0.02,1,1,96
"AR0",0.3,0.3,0,0,0.01,0.01,0.01,1,1,97
"sd_AR",0.1,0.1,0,0.01,0.01,0.01,0.01,1,1,93
"gamma0[2]",2,1.99,-0.01,0,0.03,0.03,0.03,1,1,95
"shift",2,1.99,-0.01,0,0.03,0.03,0.03,1,1,95
"sd_gamma[2]",0.2,0.2,0,0.01,0.02,0.03,0.03,1,0.99,91
"alpha121",-3.5,-3.54,-0.04,0.01,0.17,0.16,0.16,1,1,97
"alpha221",1,1.01,0.01,0.01,0.09,0.08,0.08,1,1,97
"alpha112",-3.8,-3.86,-0.06,0.02,0.2,0.2,0.21,1,1,95
"alpha212",-1,-1.02,-0.02,0.02,0.1,0.1,0.1,1,1,95
